id,name,company,sector,njsector,gender,base,bonus,basebonus,salaryother,moneyall,tier,,option
179,Stephen Sandherr,Associated General Contractors of America ,Trade,Construction,male,533569,90000,623569,0,623569,second,,<option value='bubble_179'>Stephen Sandherr</option>
180,Robert A. Wynbrandt,Society of Thoracic Surgeons,Prof,Health,male,498027,106702,604729,17774,622503,second,,<option value='bubble_180'>Robert A. Wynbrandt</option>
181,David J. Stertzer,Association for Advanced Life Underwriting,Trade,Insurance,male,401250,218485,619735,0,619735,second,,<option value='bubble_181'>David J. Stertzer</option>
182,Fred Tarantino,Universities Space Research Association,Trade,Transportation Defense,male,302695,225000,527695,91702,619397,second,,<option value='bubble_182'>Fred Tarantino</option>
183,Joe Lamond,National Association of Music Merchants,Trade,"Advertising, media, entertainment",male,567152,49985,617137,0,617137,second,,<option value='bubble_183'>Joe Lamond</option>
184,David A. Raymond,American Council of Engineering Companies,Trade,Professional,male,419032,58000,477032,137845,614877,second,,<option value='bubble_184'>David A. Raymond</option>
185,Teresa S. Polley,Financial Accounting Foundation,Trade,"Banking, finance",female,446850,45000,491850,118191,610041,second,,<option value='bubble_185'>Teresa S. Polley</option>
186,Charles Drevna,American Fuel & Petrochemical Manufacturers,Trade,Energy,male,486000,110000,596000,7650,603650,second,,<option value='bubble_186'>Charles Drevna</option>
187,Marilyn Gentry,American Institute for Cancer Research,Nonprofit,Public Interest Groups,female,189400,0,189400,414152,603552,second,,<option value='bubble_187'>Marilyn Gentry</option>
188,Terry O'Sullivan,Laborers' International Union of North America,Union,Labor Unions,male,454225,0,454225,148300,602525,second,,<option value='bubble_188'>Terry O'Sullivan</option>
189,Elizabeth A. Rogan,Optical Society,Prof,Health,female,355654,222000,577654,22500,600154,second,,<option value='bubble_189'>Elizabeth A. Rogan</option>
190,James Shannon,National Fire Protection Association,Trade,Professional,male,445388,137281,582669,17023,599692,second,,<option value='bubble_190'>James Shannon</option>
191,M. Peter McPherson,Association of Public and Land-grant Universities,Trade,"Education, Arts and Sciences",male,426250,90000,516250,83240,599490,second,,<option value='bubble_191'>M. Peter McPherson</option>
192,David C. Carroll,Gas Technology Institute,Trade,Energy,male,380042,200560,580602,14842,595444,second,,<option value='bubble_192'>David C. Carroll</option>
193,Richard W. Valachovic,American Dental Education Association,Prof,Health,male,418099,175756,593855,0,593855,second,,<option value='bubble_193'>Richard W. Valachovic</option>
194,John Grau,National Electrical Contractors Association,Prof,Construction,male,449500,40000,489500,102710,592210,second,,<option value='bubble_194'>John Grau</option>
195,Gail McGovern,"American National Red Cross, National Headquarters",Nonprofit,Public Interest Groups,female,498800,90000,588800,2322,591122,second,,<option value='bubble_195'>Gail McGovern</option>
196,Denise Bode,American Wind Energy Association,Trade,Energy,female,483452,96690,580142,9822,589964,second,,<option value='bubble_196'>Denise Bode</option>
197,Jeffrey W. Chell,National Marrow Donor Program,Nonprofit,Public Interest Groups,male,458447,110362,568809,20950,589759,second,,<option value='bubble_197'>Jeffrey W. Chell</option>
198,Karen L. Hackett,American Academy of Orthopaedic Surgeons,Prof,Health,female,421792,160000,581792,5132,586924,second,,<option value='bubble_198'>Karen L. Hackett</option>
199,John Walter,Leukemia and Lymphoma Society,Nonprofit,Public Interest Groups,male,516875,50000,566875,14868,581743,second,,<option value='bubble_199'>John Walter</option>
200,Errol Alden,American Academy of Pediatrics,Prof,Health,male,455387,98781,554168,27442,581610,second,,<option value='bubble_200'>Errol Alden</option>
201,Larry Hausner,American Diabetes Association,Nonprofit,Public Interest Groups,male,468031,81090,549121,26011,575132,second,,<option value='bubble_201'>Larry Hausner</option>
202,Patrick L. Phillips,Urban Land Institute,Nonprofit,Public Interest Groups,male,504499,50000,554499,14010,568509,second,,<option value='bubble_202'>Patrick L. Phillips</option>
203,Susan Turney,Medical Group Management Association,Prof,Health,female,446064,87599,533663,30988,564651,second,,<option value='bubble_203'>Susan Turney</option>
204,Cheryl Healton ,American Legacy Foundation,Nonprofit,Public Interest Groups,female,514040,45497,559537,2366,561903,second,,<option value='bubble_204'>Cheryl Healton </option>
205,Mark Tercek,Nature Conservancy,Nonprofit,Public Interest Groups,male,466224,50000,516224,45055,561279,second,,<option value='bubble_205'>Mark Tercek</option>
206,Carter S. Roberts,World Wildlife Fund,Nonprofit,Public Interest Groups,male,509124,50000,559124,2070,561194,second,,<option value='bubble_206'>Carter S. Roberts</option>
207,John W. Ryan,Conference of State Bank Supervisors,Prof,"Banking, finance",male,478209,69500,547709,11149,558858,second,,<option value='bubble_207'>John W. Ryan</option>
208,Howard Kohr,American Israel Public Affairs Committee,Nonprofit,Public Interest Groups,male,552620,0,552620,3612,556232,second,,<option value='bubble_208'>Howard Kohr</option>
209,Donald Schumacher,National Hospice and Palliative Care Organization,Prof,Health,male,469652,85659,555311,0,555311,second,,<option value='bubble_209'>Donald Schumacher</option>
210,Catherine M. Rydell,American Academy of Neurology,Prof,Health,female,391674,55801,447475,104267,551742,second,,<option value='bubble_210'>Catherine M. Rydell</option>
211,Doug Culkin,National Apartment Association,Trade,Real Estate,male,354115,100000,454115,97557,551672,second,,<option value='bubble_211'>Doug Culkin</option>
212,Douglas E. Henley,American Academy of Family Physicians,Prof,Health,male,480187,15675,495862,52596,548458,second,,<option value='bubble_212'>Douglas E. Henley</option>
213,Hal C. Lawrence,American College of Obstetricians and Gynecologists,Prof,Health,male,444850,93730,538580,9503,548083,second,,<option value='bubble_213'>Hal C. Lawrence</option>
214,Thomas E. Menighan,American Pharmacists Association,Prof,Health,male,465332,53522,518854,28656,547510,second,,<option value='bubble_214'>Thomas E. Menighan</option>
215,Shirley Bloomfield,"NTCA, The Rural Broadband Association",Trade,"Communications, IT",female,494404,49613,544017,0,544017,second,,<option value='bubble_215'>Shirley Bloomfield</option>
216,Denny McGuirk,Semiconductor Equipment and Materials International,Trade,"Communications, IT",male,471121,42984,514105,27207,541312,second,,<option value='bubble_216'>Denny McGuirk</option>
217,Samuel J. Gerdano,American Bankruptcy Institute,Trade,"Banking, finance",male,469626,70000,539626,0,539626,second,,<option value='bubble_217'>Samuel J. Gerdano</option>
218,Laura I. Thevenot,American Society for Radiation Oncology,Prof,Health,female,533801,0,533801,0,533801,second,,<option value='bubble_218'>Laura I. Thevenot</option>
219,James Gibbons,Goodwill Industries International,Nonprofit,Public Interest Groups,male,434252,64500,498752,35013,533765,second,,<option value='bubble_219'>James Gibbons</option>
220,John Gentille,Mechanical Contractors Association of America,Trade,Construction,male,371000,150000,521000,11865,532865,second,,<option value='bubble_220'>John Gentille</option>
221,Michael Goldberg,American Society for Microbiology,Prof,Health,male,532653,0,532653,0,532653,second,,<option value='bubble_221'>Michael Goldberg</option>
222,Michael J. Stack,ASIS International,Prof,Professional,male,386755,83681,470436,57843,528279,second,,<option value='bubble_222'>Michael J. Stack</option>
223,Brian McCarthy,Portland Cement Association,Trade,Construction,male,397838,107416,505254,22952,528206,second,,<option value='bubble_223'>Brian McCarthy</option>
224,Michael Sheppard,American Urological Association,Prof,Health,male,473745,53215,526960,0,526960,second,,<option value='bubble_224'>Michael Sheppard</option>
225,Thomas G. Loughlin,American Society of Mechanical Engineers,Prof,Professional,male,406469,98640,505109,20930,526039,second,,<option value='bubble_225'>Thomas G. Loughlin</option>
226,Craig Kennedy,German Marshall Fund of the United States,ThinkTank,Think Tank,male,525000,0,525000,0,525000,second,,<option value='bubble_226'>Craig Kennedy</option>
227,Stephen Caldeira,International Franchise Association,Trade,"Sales, Service",male,371259,148750,520009,4408,524417,second,,<option value='bubble_227'>Stephen Caldeira</option>
228,Janet Froetscher,National Safety Council,Nonprofit,Public Interest Groups,female,386618,136190,522808,0,522808,second,,<option value='bubble_228'>Janet Froetscher</option>
229,Molly Broad,American Council on Education,Trade,"Education, Arts and Sciences",female,435332,46350,481682,37905,519587,second,,<option value='bubble_229'>Molly Broad</option>
230,Terry A. Duncombe,Community Health Accreditation Program,Prof,Health,female,406642,52958,459600,57928,517528,second,,<option value='bubble_230'>Terry A. Duncombe</option>
231,David L. Schutt,SAE International,Prof,Transportation Defense,male,375834,136387,512221,3068,515289,second,,<option value='bubble_231'>David L. Schutt</option>
232,Peter Seligmann,Conservation International,Nonprofit,Public Interest Groups,male,364335,148403,512738,0,512738,second,,<option value='bubble_232'>Peter Seligmann</option>
233,Robert Ivy,American Institute of Architects,Prof,Professional,male,503968,0,503968,8392,512360,second,,<option value='bubble_233'>Robert Ivy</option>
234,Martha Liggett,American Society of Hematology,Prof,Health,female,459374,52715,512089,0,512089,second,,<option value='bubble_234'>Martha Liggett</option>
235,Linda Lipsen,American Association for Justice,Prof,Legal,female,453700,54000,507700,4206,511906,second,,<option value='bubble_235'>Linda Lipsen</option>
236,Sloan Gibson,United Service Organization  (USO),Nonprofit,Public Interest Groups,male,367839,125000,492839,18477,511316,second,,<option value='bubble_236'>Sloan Gibson</option>
237,Abe Eshkenazi,APICS The Association for Operations Management,Prof,General Business,male,421805,85144,506949,0,506949,second,,<option value='bubble_237'>Abe Eshkenazi</option>
238,Marty Saggese,Society for Neuroscience,Prof,Health,male,410085,76200,486285,17466,503751,second,,<option value='bubble_238'>Marty Saggese</option>
239,Chris Kersting,Specialty Equipment Market Association,Trade,Manufacturing,male,362530,105299,467829,35652,503481,second,,<option value='bubble_239'>Chris Kersting</option>
240,Karen Shoos Lipton,American Association of Blood Banks,Prof,Health,female,349343,0,349343,153805,503148,second,,<option value='bubble_240'>Karen Shoos Lipton</option>
241,S. Richard Fedrizzi,U.S. Green Building Council,Trade,Construction,male,502000,0,502000,0,502000,second,,<option value='bubble_241'>S. Richard Fedrizzi</option>
242,Val J. Halamandaris,National Association for Home Care and Hospice,Trade,Health,male,500000,0,500000,0,500000,second,,<option value='bubble_242'>Val J. Halamandaris</option>
243,Alan Spielman,URAC,Prof,Health,male,390350,106429,496779,0,496779,second,,<option value='bubble_243'>Alan Spielman</option>
244,Barry Russell,Independent Petroleum Association of America,Trade,Energy,male,446318,50000,496318,0,496318,second,,<option value='bubble_244'>Barry Russell</option>
245,Walter Bumphus,American Association of Community Colleges,Trade,"Education, Arts and Sciences",male,494450,0,494450,0,494450,second,,<option value='bubble_245'>Walter Bumphus</option>
246,Jessica T. Mathews,Carnegie Endowment for International Peace,ThinkTank,Think Tank,female,470405,15000,485405,6858,492263,second,,<option value='bubble_246'>Jessica T. Mathews</option>
247,Peter M. Leibold,American Health Lawyers Association,Prof,Legal,male,333118,75000,408118,83255,491373,second,,<option value='bubble_247'>Peter M. Leibold</option>
248,H. Frederick Dylla,American Institute of Physics,Prof,"Education, Arts and Sciences",male,442957,25000,467957,23365,491322,second,,<option value='bubble_248'>H. Frederick Dylla</option>
249,James T. Callahan,International Union of Operating Engineers,Union,Labor Unions,male,352101,0,352101,139203,491304,second,,<option value='bubble_249'>James T. Callahan</option>
250,John Walda,National Association of College and University Business Officers,Prof,"Education, Arts and Sciences",male,486718,0,486718,3930,490648,second,,<option value='bubble_250'>John Walda</option>
251,Muriel Howard,American Association of State Colleges and Universities,Trade,"Education, Arts and Sciences",female,457208,0,457208,33167,490375,second,,<option value='bubble_251'>Muriel Howard</option>
252,Linda Rosenberg,National Council for Behavioral Health,Prof,Health,female,459525,30000,489525,0,489525,second,,<option value='bubble_252'>Linda Rosenberg</option>
253,"Arthur B. Keys, Jr.",International Relief and Development,Nonprofit,Public Interest Groups,male,476822,0,476822,9621,486443,second,,"<option value='bubble_253'>Arthur B. Keys, Jr.</option>"
254,Brian E. Cartier,National Association of College Stores,Trade,"Sales, Service",male,418660,35000,453660,31794,485454,second,,<option value='bubble_254'>Brian E. Cartier</option>
255,Harold Daggett,International Longshoremen's Association,Union,Labor Unions,male,484508,0,484508,0,484508,second,,<option value='bubble_255'>Harold Daggett</option>
256,Jason Grumet,Bipartisan Policy Center,ThinkTank,Think Tank,male,480627,0,480627,0,480627,second,,<option value='bubble_256'>Jason Grumet</option>
257,Peter J. Donaldson,Population Council,Nonprofit,Public Interest Groups,male,392522,0,392522,87334,479856,second,,<option value='bubble_257'>Peter J. Donaldson</option>
258,John P. Garfinkel,ISSA-The Worldwide Cleaning Industry Association,Trade,"Sales, Service",male,305008,166130,471138,8200,479338,second,,<option value='bubble_258'>John P. Garfinkel</option>
259,Forrest L. Roberts,National Cattlemen's Beef Association,Trade,"Agriculture, Livestock",male,356672,0,356672,121682,478354,second,,<option value='bubble_259'>Forrest L. Roberts</option>
260,Thomas A. Marshall,American Association of Neurological Surgeons,Prof,Health,male,472272,0,472272,2000,474272,second,,<option value='bubble_260'>Thomas A. Marshall</option>
261,Stephen Yurek,"Air-Conditioning, Heating, and Refrigeration Institute",Trade,Transportation Defense,male,402264,70000,472264,1546,473810,second,,<option value='bubble_261'>Stephen Yurek</option>
262,Timothy E. Wirth,United Nations Foundation,Nonprofit,Public Interest Groups,male,449234,0,449234,22562,471796,second,,<option value='bubble_262'>Timothy E. Wirth</option>
263,Diana Aviv,Independent Sector,Trade,General Business,female,454099,0,454099,17000,471099,second,,<option value='bubble_263'>Diana Aviv</option>
264,Antonio R. Flores,Hispanic Association of Colleges and Universities,Trade,"Education, Arts and Sciences",male,400634,0,400634,69879,470513,second,,<option value='bubble_264'>Antonio R. Flores</option>
265,Randy Lemke,InfoComm International,Trade,"Communications, IT",male,333495,64949,398444,70233,468677,second,,<option value='bubble_265'>Randy Lemke</option>
266,Cecile Richards,Planned Parenthood Federation of America,Nonprofit,Public Interest Groups,female,467407,0,467407,454,467861,second,,<option value='bubble_266'>Cecile Richards</option>
267,Caryl M. Stern,U.S. Fund for UNICEF,Nonprofit,Public Interest Groups,female,407463,60000,467463,0,467463,second,,<option value='bubble_267'>Caryl M. Stern</option>
268,Charles (Chip) Lyons,Elizabeth Glaser Pediatric AIDS Foundation,Nonprofit,Public Interest Groups,male,368158,75000,443158,23572,466730,second,,<option value='bubble_268'>Charles (Chip) Lyons</option>
269,Kathleen Schmatz,Automotive Aftermarket Industry Association,Trade,Transportation Defense,female,371906,67554,439460,26714,466174,second,,<option value='bubble_269'>Kathleen Schmatz</option>
270,Tom Allen,Association of American Publishers,Prof,"Advertising, media, entertainment",male,462920,0,462920,0,462920,second,,<option value='bubble_270'>Tom Allen</option>
271,John H. Klippel,Arthritis Foundation,Nonprofit,Public Interest Groups,male,380625,73000,453625,8500,462125,second,,<option value='bubble_271'>John H. Klippel</option>
272,Glenn Gastwirth,American Podiatric Medical Association,Prof,Health,male,405710,31210,436920,25000,461920,second,,<option value='bubble_272'>Glenn Gastwirth</option>
273,Renee Acosta,Global Impact,Nonprofit,Public Interest Groups,female,308425,139670,448095,12251,460346,second,,<option value='bubble_273'>Renee Acosta</option>
274,Kenneth Wasch,Software and Information Industry Association,Trade,"Communications, IT",male,395731,63000,458731,0,458731,second,,<option value='bubble_274'>Kenneth Wasch</option>
275,David Karcher,American Society of Cataract and Refractive Surgery,Prof,Health,male,456032,0,456032,1905,457937,second,,<option value='bubble_275'>David Karcher</option>
276,Craig Wolf,Wine and Spirits Wholesalers of America,Trade,Food and Beverage,male,457301,0,457301,0,457301,second,,<option value='bubble_276'>Craig Wolf</option>
277,Richard Meserve,Carnegie Institution for Science,ThinkTank,Think Tank,male,457000,0,457000,0,457000,second,,<option value='bubble_277'>Richard Meserve</option>
278,Randi Weingarten,American Federation of Teachers,Union,Labor Unions,female,360570,0,360570,93846,454416,second,,<option value='bubble_278'>Randi Weingarten</option>
279,David Bossie,Citizens United,Nonprofit,Public Interest Groups,male,453705,0,453705,0,453705,second,,<option value='bubble_279'>David Bossie</option>
280,Carter Keithley,Toy Industry Association,Trade,Manufacturing,male,398923,54487,453410,0,453410,second,,<option value='bubble_280'>Carter Keithley</option>
281,William Hatherill,Federation of State Boards of Physical Therapy,Prof,Health,male,392292,60022,452314,0,452314,third,,<option value='bubble_281'>William Hatherill</option>
282,Kathleen T. O'Loughlin,American Dental Association,Prof,Health,female,439977,0,439977,11866,451843,third,,<option value='bubble_282'>Kathleen T. O'Loughlin</option>
283,William H. Mellor,Institute for Justice,Nonprofit,Public Interest Groups,male,379739,70000,449739,0,449739,third,,<option value='bubble_283'>William H. Mellor</option>
284,Michael D. Costelloe,American Society of Plastic Surgeons,Prof,Health,male,350000,93042,443042,0,443042,third,,<option value='bubble_284'>Michael D. Costelloe</option>
285,Thomas Dammrich,National Marine Manufacturers Association,Trade,Manufacturing,male,384049,45000,429049,10365,439414,third,,<option value='bubble_285'>Thomas Dammrich</option>
286,Strobe Talbott,Brookings Institution,ThinkTank,Think Tank,male,415980,20700,436680,2260,438940,third,,<option value='bubble_286'>Strobe Talbott</option>
287,Arnold L. Mitchem,Council for Opportunity in Education,Nonprofit,Public Interest Groups,male,437432,0,437432,0,437432,third,,<option value='bubble_287'>Arnold L. Mitchem</option>
288,Matt Kibbe,FreedomWorks,Nonprofit,Public Interest Groups,male,325281,100915,426196,10000,436196,third,,<option value='bubble_288'>Matt Kibbe</option>
289,Frederic D. Krupp,Environmental Defense Fund,Nonprofit,Public Interest Groups,male,407510,26000,433510,0,433510,third,,<option value='bubble_289'>Frederic D. Krupp</option>
290,Robin K. Wiener,Institute of Scrap Recycling Industries,Trade,Natural Resources,female,375899,56100,431999,0,431999,third,,<option value='bubble_290'>Robin K. Wiener</option>
291,Patrick J. Natale,American Society of Civil Engineers,Prof,Professional,male,365612,35000,400612,30733,431345,third,,<option value='bubble_291'>Patrick J. Natale</option>
292,Lawrence A. Selzer,Conservation Fund,Nonprofit,Public Interest Groups,male,290725,134000,424725,6567,431292,third,,<option value='bubble_292'>Lawrence A. Selzer</option>
293,Steve Sanetti,National Shooting Sports Foundation,Trade,Manufacturing,male,353219,76500,429719,0,429719,third,,<option value='bubble_293'>Steve Sanetti</option>
294,Barbara Byrd Keenan,Institute of Food Technologists,Prof,Food and Beverage,female,429404,0,429404,0,429404,third,,<option value='bubble_294'>Barbara Byrd Keenan</option>
295,William L. Minnix Jr.,LeadingAge,Trade,Health,male,377582,30000,407582,20432,428014,third,,<option value='bubble_295'>William L. Minnix Jr.</option>
296,Robert Rinaldi,American Association of Oral and Maxillofacial Surgeons,Prof,Health,male,335000,80075,415075,11923,426998,third,,<option value='bubble_296'>Robert Rinaldi</option>
297,Mary Downs,American Academy of Actuaries,Prof,Insurance,female,346684,80000,426684,0,426684,third,,<option value='bubble_297'>Mary Downs</option>
298,Richard Coon,Recreation Vehicle Industry Association,Trade,Transportation Defense,male,392325,30000,422325,3933,426258,third,,<option value='bubble_298'>Richard Coon</option>
299,Joseph Nigro,Sheet Metal Workers' International Association,Union,Labor Unions,male,0,0,0,0,425133,third,,<option value='bubble_299'>Joseph Nigro</option>
300,David Arnold,Asia Foundation,Nonprofit,Public Interest Groups,male,339152,15000,354152,70536,424688,third,,<option value='bubble_300'>David Arnold</option>
301,Rupert W. Scofield,FINCA International,Nonprofit,Public Interest Groups,male,373786,50000,423786,792,424578,third,,<option value='bubble_301'>Rupert W. Scofield</option>
302,Jeffrey Trandahl,National Fish And Wildlife Foundation,Nonprofit,Public Interest Groups,male,322495,80438,402933,16884,419817,third,,<option value='bubble_302'>Jeffrey Trandahl</option>
303,Douglas J. McCarron,United Brotherhood of Carpenters and Joiners of America,Union,Labor Unions,male,397992,0,397992,20822,418814,third,,<option value='bubble_303'>Douglas J. McCarron</option>
304,Kenneth Roth,Human Rights Watch,Nonprofit,Public Interest Groups,male,367330,50000,417330,0,417330,third,,<option value='bubble_304'>Kenneth Roth</option>
305,E. Blair Holladay,American Society for Clinical Pathology,Prof,Health,male,331500,36930,368430,48788,417218,third,,<option value='bubble_305'>E. Blair Holladay</option>
306,Grant Seiffert,Telecommunications Industry Association,Trade,"Communications, IT",male,416889,0,416889,0,416889,third,,<option value='bubble_306'>Grant Seiffert</option>
307,John Curran,American Registry for Internet Numbers,Trade,"Communications, IT",male,326725,77096,403821,12957,416778,third,,<option value='bubble_307'>John Curran</option>
308,Patrick F. Bassett,National Association of Independent Schools,Trade,"Education, Arts and Sciences",male,408732,5325,414057,2674,416731,third,,<option value='bubble_308'>Patrick F. Bassett</option>
309,John Horsley,American Association of State Highway and Transportation Officials,Prof,Government,male,349149,50000,399149,16500,415649,third,,<option value='bubble_309'>John Horsley</option>
310,Christine McEntee,American Geophysical Union,Prof,"Education, Arts and Sciences",female,413335,0,413335,0,413335,third,,<option value='bubble_310'>Christine McEntee</option>
311,LaVarne A. Burton,American Kidney Fund,Nonprofit,Public Interest Groups,female,387192,25075,412267,0,412267,third,,<option value='bubble_311'>LaVarne A. Burton</option>
312,Timothy A. Zilke,National Institute for Automotive Service Excellence,Trade,"Sales, Service",male,399568,0,399568,12304,411872,third,,<option value='bubble_312'>Timothy A. Zilke</option>
313,Matt Zuccaro,Helicopter Association International,Trade,Transportation Defense,male,410857,0,410857,0,410857,third,,<option value='bubble_313'>Matt Zuccaro</option>
314,Dennis J. Slater,Association of Equipment Manufacturers,Trade,Manufacturing,male,320790,89600,410390,0,410390,third,,<option value='bubble_314'>Dennis J. Slater</option>
315,Vicki B. Escarra,Feeding America,Nonprofit,Public Interest Groups,female,406222,0,406222,2736,408958,third,,<option value='bubble_315'>Vicki B. Escarra</option>
316,Roy Willis,Propane Education & Research Council,Trade,Energy,male,324098,65720,389818,18118,407936,third,,<option value='bubble_316'>Roy Willis</option>
317,Elizabeth J. Clark,National Association of Social Workers,Prof,Government,female,382175,0,382175,25000,407175,third,,<option value='bubble_317'>Elizabeth J. Clark</option>
318,Norbert R. Ryan Jr.,Military Officers Association of America,Prof,Government,male,295559,74737,370296,36652,406948,third,,<option value='bubble_318'>Norbert R. Ryan Jr.</option>
319,Robert Gagosian,Consortium for Ocean Leadership,Trade,"Education, Arts and Sciences",male,365033,21744,386777,19724,406501,third,,<option value='bubble_319'>Robert Gagosian</option>
320,Carolyn Miles,Save the Children,Nonprofit,Public Interest Groups,female,386179,0,386179,17678,403857,third,,<option value='bubble_320'>Carolyn Miles</option>
321,Sal Martino,American Society of Radiologic Technologists,Prof,Health,male,373719,30100,403819,0,403819,third,,<option value='bubble_321'>Sal Martino</option>
322,Anthony Romero,American Civil Liberties Union (ACLU),Nonprofit,Public Interest Groups,male,397256,0,397256,4595,401851,third,,<option value='bubble_322'>Anthony Romero</option>
323,John Lippincott,Council for Advancement and Support of Education,Prof,"Education, Arts and Sciences",male,399347,0,399347,1980,401327,third,,<option value='bubble_323'>John Lippincott</option>
324,Mark A. Andrejeski,American College of Rheumatology,Prof,Health,male,390288,0,390288,9496,399784,third,,<option value='bubble_324'>Mark A. Andrejeski</option>
325,Gregory Principato,Airports Council International-North America,Trade,Transportation Defense,male,370672,25000,395672,0,395672,third,,<option value='bubble_325'>Gregory Principato</option>
326,Paul Farmer,American Planning Association,Prof,Professional,male,376014,0,376014,17746,393760,third,,<option value='bubble_326'>Paul Farmer</option>
327,Jeffrey L. Esser,Government Finance Officers Association,Prof,Government,male,368795,0,368795,24438,393233,third,,<option value='bubble_327'>Jeffrey L. Esser</option>
328,Dean Wilkerson,American College of Emergency Physicians,Prof,Health,male,325017,28512,353529,38333,391862,third,,<option value='bubble_328'>Dean Wilkerson</option>
329,John D. Barnes,American Physical Therapy Association,Prof,Health,male,364385,27199,391584,0,391584,third,,<option value='bubble_329'>John D. Barnes</option>
330,Harrison C. Spencer,Association of Schools and Programs of Public Health,Trade,Health,male,358487,30000,388487,0,388487,third,,<option value='bubble_330'>Harrison C. Spencer</option>
331,Martin Frank,American Physiological Society,Prof,Health,male,384863,0,384863,2943,387806,third,,<option value='bubble_331'>Martin Frank</option>
332,Sherrie Cathcart,American Association for the Study of Liver Diseases,Prof,Health,female,352100,35000,387100,0,387100,third,,<option value='bubble_332'>Sherrie Cathcart</option>
333,E. Robert Chamberlin,SourceAmerica (previously NISH),Nonprofit,Public Interest Groups,male,372741,1250,373991,8379,382370,third,,<option value='bubble_333'>E. Robert Chamberlin</option>
334,Arlene A. Pietranton,American Speech-Language-Hearing Association,Prof,Health,female,302155,0,302155,79007,381162,third,,<option value='bubble_334'>Arlene A. Pietranton</option>
335,Timothy J. McCormally,Tax Executives Institute,Prof,Legal,male,355083,20000,375083,2763,377846,third,,<option value='bubble_335'>Timothy J. McCormally</option>
336,Mark H. Ayers,"Building and Construction Trades, AFL-CIO",Union,Labor Unions,male,336353,0,336353,40914,377267,third,,<option value='bubble_336'>Mark H. Ayers</option>
337,Frances Beinecke,Natural Resources Defense Council,Nonprofit,Public Interest Groups,female,376317,0,376317,0,376317,third,,<option value='bubble_337'>Frances Beinecke</option>
338,Michael Elliott,One Campaign,Nonprofit,Public Interest Groups,male,375396,0,375396,0,375396,third,,<option value='bubble_338'>Michael Elliott</option>
339,Dennis Van Roekel,National Education Association,Union,Labor Unions,male,274878,0,274878,99447,374325,third,,<option value='bubble_339'>Dennis Van Roekel</option>
340,Kevin A. Lynch,National Industries for the Blind,Nonprofit,Public Interest Groups,male,316558,31930,348488,23846,372334,third,,<option value='bubble_340'>Kevin A. Lynch</option>
341,Thomas Kiernan,National Parks Conservation Association,Nonprofit,Public Interest Groups,male,331173,39000,370173,0,370173,third,,<option value='bubble_341'>Thomas Kiernan</option>
342,Audrae Erickson,Corn Refiners Association,Trade,"Agriculture, Livestock",female,370000,0,370000,0,370000,third,,<option value='bubble_342'>Audrae Erickson</option>
343,John J. Hamre,Center for Strategic and International Studies,ThinkTank,Think Tank,male,367631,0,367631,1188,368819,third,,<option value='bubble_343'>John J. Hamre</option>
344,Newton B. Jones,International Brotherhood of Boilermakers,Union,Labor Unions,male,346181,0,346181,21632,367813,third,,<option value='bubble_344'>Newton B. Jones</option>
345,Frederick P. Somers,American Occupational Therapy Association,Prof,Health,male,272609,75328,347937,19196,367133,third,,<option value='bubble_345'>Frederick P. Somers</option>
346,James P. Hoffa,"International Brotherhood of Teamsters, AFL-CIO",Union,Labor Unions,male,296640,0,296640,68704,365344,third,,<option value='bubble_346'>James P. Hoffa</option>
347,Thomas Miller,International Executive Service Corps,Nonprofit,Public Interest Groups,male,314448,48661,363109,1584,364693,third,,<option value='bubble_347'>Thomas Miller</option>
348,Robert E. Lindberg,National Institute of Aerospace,Trade,Transportation Defense,male,343143,20288,363431,0,363431,third,,<option value='bubble_348'>Robert E. Lindberg</option>
349,Chris Vranas,American Association of Orthodontists,Prof,Health,male,344764,0,344764,17752,362516,third,,<option value='bubble_349'>Chris Vranas</option>
350,Lynn Robinson,American Gastroenterological Association,Prof,Health,female,323152,21608,344760,17489,362249,third,,<option value='bubble_350'>Lynn Robinson</option>
351,Richard Yep,American Counseling Association,Prof,Health,male,330001,15556,345557,16690,362247,third,,<option value='bubble_351'>Richard Yep</option>
352,Ronald Thorpe,National Board for Professional Teaching Standards,Prof,"Education, Arts and Sciences",male,324750,32000,356750,5000,361750,third,,<option value='bubble_352'>Ronald Thorpe</option>
353,Kevin Frost,"amfAR, The Foundation for AIDS Research",Nonprofit,Public Interest Groups,male,361481,0,361481,0,361481,third,,<option value='bubble_353'>Kevin Frost</option>
354,Tom Serena,American Gastroenterological Association,Prof,Health,male,337957,21608,359565,1243,360808,third,,<option value='bubble_354'>Tom Serena</option>
355,James Cleary,International Association of Amusement Parks and Attractions,Trade,"Advertising, media, entertainment",male,312467,45000,357467,1584,359051,third,,<option value='bubble_355'>James Cleary</option>
356,Richard M. Johnson,Parenteral Drug Association,Prof,Health,male,272102,78810,350912,7241,358153,third,,<option value='bubble_356'>Richard M. Johnson</option>
357,June C. Wispelwey,American Institute of Chemical Engineers,Prof,Professional,female,223732,104136,327868,28583,356451,third,,<option value='bubble_357'>June C. Wispelwey</option>
358,Edwin D. Hill,International Brotherhood of Electrical Workers,Union,Labor Unions,male,321623,0,321623,34731,356354,third,,<option value='bubble_358'>Edwin D. Hill</option>
